frame_id,timestamp,left_elbow,right_elbow,elbow_mean,elbow_diff,body_alignment,alignment_deviation,form_score,form_status,depth_score,alignment_score,symmetry_score,control_score,rep_count,valid_reps,invalid_reps,state,has_pose,detection_confidence,fps,inference_ms
60,2.0,111.19140097708477,110.22173726333538,110.70656912021008,0.9696637137493838,156.1974112931336,23.802588706866402,73.15382055445899,NEEDS IMPROVEMENT,100.0,48.684396926667816,97.57584071562654,45.166666666666664,0,0,0,MOVING,True,0.97,70.65377390107332,0.08634599998913473
62,2.066666666666667,117.13092714873187,116.1586933789641,116.64481026384799,0.9722337697677688,155.8217888516502,24.17821114834979,71.91022195270381,NEEDS IMPROVEMENT,100.0,47.05125587674005,97.56941557558058,41.40481037282838,0,0,0,MOVING,True,0.97,71.46267511867958,0.1491149996581953
64,2.1333333333333333,125.47335563954168,121.60712597740168,123.54024080847168,3.8662296621400003,156.53159614282214,23.46840385717786,71.1723388822052,NEEDS IMPROVEMENT,100.0,50.137374534009304,90.33442584465,40.321206765361985,0,0,0,MOVING,True,0.97,72.11662446652764,0.10132800071005477
66,2.2,132.8332391607779,127.19936844951998,130.01630380514894,5.633870711257927,156.70071548439094,23.29928451560906,70.87745263486244,NEEDS IMPROVEMENT,100.0,50.872676019091045,85.91532322185518,42.16292592382044,0,0,0,MOVING,True,0.97,72.64859227645017,0.10571799975878093
68,2.2666666666666666,135.17049029123953,132.2037461524203,133.6871182218299,2.966744138819223,157.30278758315742,22.697212416842575,73.51377150811192,NEEDS IMPROVEMENT,100.0,53.49038079633664,92.58313965295194,44.75014669310271,0,0,0,MOVING,True,0.97,73.02295888556873,0.11110000014014076
70,2.3333333333333335,142.22395675752267,138.26180387076195,140.24288031414233,3.9621528867607196,156.95347483215863,23.046525167841367,72.9762683755912,NEEDS IMPROVEMENT,100.0,51.971629705037536,90.0946177830982,46.82927953730153,0,0,0,MOVING,True,0.97,73.42746510812061,0.10675399971660227
72,2.4,147.03888211848823,145.13698353162388,146.08793282505604,1.9018985868643483,157.65059676913188,22.34940323086812,75.39952267008421,GOOD,100.0,55.00259464839947,95.24525353283913,49.24846784498269,0,0,0,MOVING,True,0.97,73.29290114155582,0.08488499952363782
74,2.466666666666667,152.8523040708826,151.91291969375484,152.3826118823187,0.9393843771277659,158.04103206860023,21.95896793139977,76.67393197925742,GOOD,100.0,56.70013942869665,97.65153905718059,50.667911696061516,0,0,0,MOVING,True,0.97,72.80402917684431,0.10077199931401992
76,2.533333333333333,159.6915837638409,157.41933466126738,158.55545921255413,2.272249102573511,157.37668862999024,22.62331137000976,75.2815690121141,GOOD,100.0,53.81168969560974,94.31937724356622,51.37093327358966,0,0,0,MOVING,True,0.97,72.42902982363924,0.08152800000971183
78,2.6,167.62305418064145,161.97643325271298,164.7997437166772,5.646620927928467,157.87838833267892,22.121611667321076,43.55018179002549,POOR,0.0,55.99299275077794,85.88344768017883,47.8779721437817,1,1,0,UP,True,0.97,71.90308246790022,0.08218000039050821
80,2.6666666666666665,171.61248803908606,167.81236139246502,169.71242471577554,3.800126646621038,157.90097150945385,22.099028490546146,44.774560589703064,POOR,0.0,56.091180475886325,90.4996833834474,49.23634885123842,1,1,0,UP,True,0.97,71.16594384878509,0.11897700005647494
82,2.7333333333333334,178.79979525780152,168.9485533148039,173.87417428630272,9.851241942997632,157.1984439867709,22.80155601322909,40.882788994648635,POOR,0.0,53.03671298596049,75.37189514250592,49.48698035179652,1,1,0,UP,True,0.97,70.53700833125515,0.10614100028760731
84,2.8,178.68916190184018,170.20778624721584,174.448474074528,8.481375654624344,158.8184394539967,21.18156054600331,44.45195789201092,POOR,0.0,60.080171539116044,78.79656086343914,53.34297128794137,1,1,0,UP,True,0.97,69.96084210051119,0.10554899927228689
86,2.8666666666666667,178.14762809786671,173.47368658132268,175.81065733959468,4.6739415165440334,157.46179527904417,22.538204720955832,45.51754482308994,POOR,0.0,54.18171860453987,88.31514620863992,57.99999999999999,1,1,0,UP,True,0.97,69.17263968385863,0.12219100062793586
88,2.933333333333333,178.50834674008127,178.09283757601858,178.30059215804994,0.41550916406268357,157.42237347395005,22.577626526049954,47.595341253555674,POOR,0.0,54.010319451956725,98.96122708984329,57.99999999999999,1,1,0,UP,True,0.97,68.26442030238431,0.12682800024776952
90,3.0,179.5549129579598,175.6205270156471,177.58771998680345,3.9343859423127014,158.31189061901938,21.68810938098062,46.99614261886893,POOR,0.0,57.87778530008426,90.16403514421825,57.99999999999999,1,1,0,UP,True,0.97,67.2900846276446,0.1154689998656977
92,3.066666666666667,179.66206749259638,175.96848258880033,177.81527504069834,3.693584903796051,157.66598438014967,22.334015619850334,46.27405673960154,POOR,0.0,55.06949730499855,90.76603774050987,57.99999999999999,1,1,0,UP,True,0.97,66.51044442218993,0.12321599933784455
94,3.1333333333333333,177.92555623322357,173.77050461199045,175.848030422607,4.155051621233127,158.04196975281607,21.958030247183927,46.533739084360924,POOR,0.0,56.70421631659161,89.61237094691718,57.99999999999999,1,1,0,UP,True,0.97,65.93965935628609,0.09395899996889057
96,3.2,177.8218214729937,170.50498176378704,174.16340161839037,7.316839709206647,158.87864448795148,21.121355512048524,46.044159912289906,POOR,0.0,60.34193255631077,81.70790072698338,57.99999999999999,1,1,0,UP,True,0.97,65.5639979450895,0.15898299989203224
98,3.2666666666666666,178.99310747076257,170.76644600496502,174.87977673786378,8.226661465797548,157.64418159523618,22.355818404763824,43.97908004349624,POOR,0.0,54.97470258798338,79.43334633550613,57.99999999999999,1,1,0,UP,True,0.97,65.2421197697907,0.11517799975990783
